Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS,Year
2024-06-30,2819528.39979564,773306.559305114,61976.8443671776,0,47594.5274963139,129751.724260079,15137.070592582,200953.416401994,0,126.332876128282,0,0,0,0,0,61427.1481387514,3794952316.84017,2022
2024-07-31,2822712.39373739,779614.015715955,62070.9602654536,0,47341.6438419415,317109.502280931,15194.7264088466,204122.128716992,0,124.619233316107,0,0,0,0,0,61070.8743405037,3777988340.80847,2022
2024-08-31,2816333.04462784,784120.87616761,62082.6856383877,0,47099.6218464064,182809.712927872,15165.9257282269,207129.552786867,0,124.006615853373,0,0,0,0,0,64289.7641129463,3754661454.20226,2022
2024-09-30,2815651.68783873,789000.339088002,62427.0479499281,0,46869.8155155457,223137.949957616,15276.4644138544,209773.972745217,0,123.06004132268,0,0,0,0,0,65535.9198875867,3733502324.09338,2022
2024-10-31,2814377.24325883,794511.601670598,62426.0242892605,0,46651.0467514215,228059.723692477,15278.4255592658,212350.780305794,0,121.461192543247,0,0,0,0,0,67013.1924334162,3714269350.41754,2022
2024-11-30,2816447.48332247,804740.760890967,62980.4067052825,0,46441.7653977123,249797.310429185,15269.4081714277,214804.053306158,0,119.884307442426,0,0,0,0,0,68312.6415517642,3696770049.26001,2022
2024-12-31,2814718.6076382,811176.061379307,63665.9546118679,0,46242.8762314984,220081.096034273,15318.5385985029,217147.526545235,0,118.329067828729,0,0,0,0,0,70035.5410002217,3678447246.35285,2022
2025-01-31,2818993.74310236,821313.179549477,63725.3749999612,0,46045.9053810084,264686.305868458,15263.3519763474,219588.662039996,0,118.494304132392,0,0,0,0,0,70990.3294446474,3664158092.78512,2022
2025-02-28,2806173.30254181,822011.754009849,63433.6688892492,0,45862.4381190202,98426.3876492897,15177.7538916688,221589.224053926,0,117.028773842999,0,0,0,0,0,75654.7120248351,3638423505.65219,2022
2025-03-31,2802995.39151548,826919.300404839,63593.3701529955,0,45686.7279181377,187744.42389118,15089.8828792827,223637.701543665,0,117.886664259473,0,0,0,0,0,75042.8958492985,3620143191.08814,2022
2025-04-30,2796411.03593627,827467.342158377,63360.7105632086,0,45520.9634546137,157923.279875869,15088.3372296005,225425.125153798,0,116.518372159542,0,0,0,0,0,76533.1242153573,3602431380.67852,2022
2025-05-31,2786626.53859467,827166.999218402,63209.4449585592,0,45363.1057487987,123341.23475482,14965.0670877422,227097.404758002,0,115.166662550085,0,0,0,0,0,78409.6521670642,3579470642.98708,2022
2025-06-30,2779137.30830949,828902.622509035,63581.9409083764,0,45211.4786217851,125839.507737552,14964.4868551558,228614.506579204,0,113.831325517541,0,0,0,0,0,79819.6150970516,3559208248.88372,2022
2025-07-31,2788285.13399295,831873.583583653,63901.4428378949,0,45054.8530857552,312337.775208632,15049.295276618,229828.954846865,0,112.512153915001,0,0,0,0,0,77295.029652522,3550751900.18338,2022
2025-08-31,2787018.89608522,833967.902648154,63799.7407765804,0,44887.1644836395,182356.738756478,15043.6101188163,230920.15725043,0,112.212840398966,0,0,0,0,0,81344.3810869473,3534781369.96646,2022
2025-09-30,2789809.9139968,836938.647353959,64342.7061150634,0,44720.1043124256,218944.443434923,15174.5555863166,231936.607302876,0,111.564240101572,0,0,0,0,0,81742.2183322364,3520403842.15574,2022
2025-10-31,2792045.11026365,839250.740089396,64492.6508453691,0,44558.3428983776,223423.070580805,15189.1063773022,233076.883011811,0,110.281683062579,0,0,0,0,0,82786.4815537726,3507001380.43523,2022
2025-11-30,2797230.48008639,844832.709160462,65220.5021091721,0,44394.8529439808,241526.054466218,15190.6717345298,234244.066437078,0,109.014541246277,0,0,0,0,0,83446.4517330367,3494624862.06468,2022
2025-12-31,2798325.41383423,847620.583373097,66127.1209794058,0,44245.245984079,214581.060220098,15248.0197208248,235482.958251717,0,107.762620797343,0,0,0,0,0,85041.4557269111,3480698222.68963,2022
2026-01-31,2804877.16972902,853187.00071976,66312.4494233533,0,44096.0361756638,255617.209015231,15198.9228900086,236879.450303997,0,108.033928850297,0,0,0,0,0,85473.6437904997,3469821955.26022,2022
2026-02-28,2793799.60751877,851026.239451882,66078.8781149927,0,43947.2070310856,94181.272157251,15117.1674582363,237961.986261847,0,106.796032807546,0,0,0,0,0,91272.7107791431,3447690450.4604,2022
2026-03-31,2792068.47268221,852398.728047143,66398.2793850763,0,43798.8884101673,181963.234403019,15033.4260474885,239138.658270879,0,107.687452193028,0,0,0,0,0,89705.4383541045,3432036569.36517,2022
2026-04-30,2786289.40162424,850848.531879835,66193.8400944076,0,43651.0648044751,153085.672536342,15028.2553860564,240169.68476982,0,106.462573168157,0,0,0,0,0,91178.1316699366,3416124039.80586,2022
2026-05-31,2776781.30041128,848280.672836815,66051.1220904845,0,43503.7475431155,117449.384425296,14905.7818545534,241129.293114165,0,105.252253406465,0,0,0,0,0,93245.1841705257,3394660263.00829,2022
2026-06-30,2769320.13159113,847282.636313895,66444.5663108995,0,43356.9213929368,120037.355047721,14907.5454942492,242021.30844937,0,104.056311902964,0,0,0,0,0,94503.871406546,3375434811.59867,2022
2026-07-31,2778282.67100375,850349.252596973,66820.6316250586,0,43186.8208345286,303110.696471398,14993.7157513326,243383.57408005,0,102.874569999417,0,0,0,0,0,90131.2828542558,3367525650.66586,2022
2026-08-31,2777793.49831656,852664.217144528,67021.7768666726,0,43040.9104093728,177138.258539482,14988.3245447257,244663.10448829,0,102.644538741942,0,0,0,0,0,95471.1516860236,3352899894.70869,2022
2026-09-30,2778613.19482083,855656.450369366,65337.5946076206,0,42876.7034278786,210313.73558141,15123.1382072534,245866.981337222,0,102.08772118794,0,0,0,0,0,95426.8034723857,3338178290.57988,2022
2026-10-31,2781407.48537794,858232.61085315,65524.1291702258,0,42731.729368526,215889.994186956,15138.0516285441,247180.834857751,0,100.938111237879,0,0,0,0,0,96425.5920250345,3325600762.51957,2022
2026-11-30,2786942.40607081,864167.946074465,66465.9906321101,0,42587.1097334657,230737.268958672,15140.2506538466,248511.745715794,0,99.8020482883685,0,0,0,0,0,96904.0745810453,3313961949.64547,2022
